vertex count,edge count,wing count,junction count,supply count,exit count,supply cap,budget used,budget,budget percent,value collected,value total,seed,op count
400,792,4,6,50,2,5,7535,8988,35,89,154,44,602342
400,792,4,6,50,2,5,13035,15407,60,115,154,44,839614
200,396,2,2,50,2,5,2379,2885,35,98,173,45,324922
200,396,2,2,50,2,5,3977,4946,60,126,173,45,406808
300,594,3,4,50,2,5,3323,3704,35,79,130,46,346484
300,594,3,4,50,2,5,5394,6350,60,100,130,46,441429
400,792,4,6,50,2,5,4580,5408,35,99,155,47,456894
400,792,4,6,50,2,5,7586,9271,60,120,155,47,622540
200,396,2,2,50,2,5,2418,2942,35,80,148,48,300648
200,396,2,2,50,2,5,4240,5044,60,105,148,48,382383
300,594,3,4,50,2,5,3625,4371,35,81,138,49,403497
300,594,3,4,50,2,5,6121,7493,60,105,138,49,561876
400,792,4,6,50,2,5,6157,7240,35,96,154,50,546744
400,792,4,6,50,2,5,10585,12411,60,120,154,50,749496
200,396,2,2,50,2,5,2311,2857,35,95,144,51,289709
200,396,2,2,50,2,5,4144,4898,60,116,144,51,377563
300,594,3,4,50,2,5,4549,5380,35,74,152,52,381132
300,594,3,4,50,2,5,7837,9223,60,104,152,52,497101
400,792,4,6,50,2,5,7282,8447,35,90,151,53,469561
400,792,4,6,50,2,5,12326,14480,60,116,151,53,643784
200,396,2,2,50,2,5,2382,2748,35,79,149,54,297575
200,396,2,2,50,2,5,3990,4711,60,105,149,54,384357
300,594,3,4,50,2,5,2781,3276,35,92,165,55,374288
300,594,3,4,50,2,5,4647,5616,60,122,165,55,500031
400,792,4,6,50,2,5,6817,8126,35,79,139,56,600902
400,792,4,6,50,2,5,12204,13930,60,98,139,56,983573
200,396,2,2,50,2,5,2396,2844,35,80,151,57,281442
200,396,2,2,50,2,5,4093,4875,60,114,151,57,393246
300,594,3,4,50,2,5,4353,5197,35,90,152,58,449865
300,594,3,4,50,2,5,7316,8909,60,112,152,58,583465
400,792,4,6,50,2,5,9153,10642,35,74,151,59,653537
400,792,4,6,50,2,5,15773,18244,60,105,151,59,992844
200,396,2,2,50,2,5,1709,1914,35,87,156,60,254867
200,396,2,2,50,2,5,2822,3281,60,120,156,60,323393
300,594,3,4,50,2,5,4474,5147,35,79,139,61,426797
300,594,3,4,50,2,5,7263,8824,60,100,139,61,530935
400,792,4,6,50,2,5,7111,8380,35,71,136,62,424888
400,792,4,6,50,2,5,12474,14366,60,100,136,62,649083
200,396,2,2,50,2,5,2465,2820,35,95,164,63,310550
200,396,2,2,50,2,5,4267,4834,60,125,164,63,421195
300,594,3,4,50,2,5,2337,2801,35,78,139,64,312277
300,594,3,4,50,2,5,4047,4802,60,103,139,64,429544
400,792,4,6,50,2,5,5112,6218,35,91,156,65,462703
400,792,4,6,50,2,5,8607,10660,60,117,156,65,610236
200,396,2,2,50,2,5,2962,3559,35,83,149,66,354179
200,396,2,2,50,2,5,5116,6101,60,110,149,66,489862
300,594,3,4,50,2,5,3946,4825,35,97,152,67,429105
300,594,3,4,50,2,5,6666,8272,60,118,152,67,577976
400,792,4,6,50,2,5,7586,8407,35,122,167,68,755663
400,792,4,6,50,2,5,11948,14411,60,146,167,68,919084
200,396,2,2,50,2,5,2722,3184,35,82,155,69,317884
200,396,2,2,50,2,5,4615,5458,60,109,155,69,434207
300,594,3,4,50,2,5,7206,8873,35,76,151,70,517025
300,594,3,4,50,2,5,12273,15211,60,101,151,70,758084
400,792,4,6,50,2,5,7442,9093,35,82,162,71,574569
400,792,4,6,50,2,5,12545,15588,60,112,162,71,825116
200,396,2,2,50,2,5,2127,2420,35,94,149,72,278971
200,396,2,2,50,2,5,3658,4148,60,120,149,72,391361
300,594,3,4,50,2,5,3251,3930,35,93,161,73,377514
300,594,3,4,50,2,5,5643,6737,60,122,161,73,475319
400,792,4,6,50,2,5,6948,8632,35,83,152,74,557815
400,792,4,6,50,2,5,12298,14798,60,110,152,74,833018
200,396,2,2,50,2,5,2242,2517,35,70,139,75,267598
200,396,2,2,50,2,5,3683,4315,60,96,139,75,347581
300,594,3,4,50,2,5,2635,3159,35,97,165,76,338910
300,594,3,4,50,2,5,4505,5416,60,121,165,76,458845
400,792,4,6,50,2,5,5833,6957,35,92,166,77,556378
400,792,4,6,50,2,5,10009,11927,60,119,166,77,788666
200,396,2,2,50,2,5,2327,2781,35,102,158,78,321036
200,396,2,2,50,2,5,3978,4767,60,124,158,78,387876
300,594,3,4,50,2,5,7270,9018,35,82,161,79,583022
300,594,3,4,50,2,5,13088,15459,60,111,161,79,875302
400,792,4,6,50,2,5,8462,10086,35,72,143,80,688654
400,792,4,6,50,2,5,14751,17290,60,100,143,80,1044755
200,396,2,2,50,2,5,3342,3960,35,96,174,81,363263
200,396,2,2,50,2,5,5537,6789,60,131,174,81,459070
300,594,3,4,50,2,5,5374,6058,35,68,152,82,409272
300,594,3,4,50,2,5,8855,10385,60,101,152,82,560577
400,792,4,6,50,2,5,5033,5722,35,89,143,83,455195
400,792,4,6,50,2,5,8241,9809,60,111,143,83,560925
200,396,2,2,50,2,5,2552,2891,35,94,154,84,293503
200,396,2,2,50,2,5,4456,4956,60,125,154,84,406620
300,594,3,4,50,2,5,2893,3367,35,97,157,85,346156
300,594,3,4,50,2,5,4952,5773,60,123,157,85,455116
400,792,4,6,50,2,5,6456,7653,35,102,162,86,631591
400,792,4,6,50,2,5,11172,13120,60,126,162,86,897603
200,396,2,2,50,2,5,2753,3299,35,95,155,87,342333
200,396,2,2,50,2,5,4611,5656,60,121,155,87,426096
300,594,3,4,50,2,5,2954,3532,35,93,142,88,343707
300,594,3,4,50,2,5,5066,6055,60,116,142,88,472394
400,792,4,6,50,2,5,6549,7564,35,79,152,89,593854
400,792,4,6,50,2,5,11343,12967,60,104,152,89,865664
200,396,2,2,50,2,5,2251,2555,35,73,147,90,289706
200,396,2,2,50,2,5,3813,4379,60,99,147,90,407905
300,594,3,4,50,2,5,1466,1840,35,78,140,91,249451
300,594,3,4,50,2,5,2651,3155,60,105,140,91,314451
400,792,4,6,50,2,5,8535,10311,35,100,151,92,814838
400,792,4,6,50,2,5,13823,17677,60,120,151,92,1104920
200,396,2,2,50,2,5,2070,2349,35,83,155,93,270764
200,396,2,2,50,2,5,3450,4027,60,115,155,93,361209
300,594,3,4,50,2,5,3911,4568,35,95,150,94,412154
300,594,3,4,50,2,5,6394,7831,60,120,150,94,544841
400,792,4,6,50,2,5,5069,5906,35,95,169,95,534092
400,792,4,6,50,2,5,8336,10124,60,123,169,95,737037
200,396,2,2,50,2,5,2976,3533,35,85,144,96,338703
200,396,2,2,50,2,5,5153,6056,60,109,144,96,491649
300,594,3,4,50,2,5,5875,6952,35,85,155,97,399481
300,594,3,4,50,2,5,9702,11918,60,114,155,97,520198
400,792,4,6,50,2,5,4517,5286,35,80,139,98,416837
400,792,4,6,50,2,5,7770,9061,60,108,139,98,611333
200,396,2,2,50,2,5,2033,2371,35,84,142,99,266758
200,396,2,2,50,2,5,3444,4064,60,109,142,99,356008
300,594,3,4,50,2,5,5973,6945,35,73,135,100,479807
300,594,3,4,50,2,5,10154,11905,60,101,135,100,667575
400,792,4,6,50,2,5,6893,7786,35,96,141,101,609191
400,792,4,6,50,2,5,11307,13347,60,113,141,101,783580
200,396,2,2,50,2,5,3659,4259,35,98,169,102,406298
200,396,2,2,50,2,5,6117,7301,60,126,169,102,563435
300,594,3,4,50,2,5,4750,5522,35,93,148,103,463318
300,594,3,4,50,2,5,7900,9466,60,114,148,103,612066
400,792,4,6,50,2,5,4573,5404,35,82,145,104,445691
400,792,4,6,50,2,5,7708,9264,60,107,145,104,573075
200,396,2,2,50,2,5,3254,3880,35,119,177,105,393352
200,396,2,2,50,2,5,5711,6651,60,144,177,105,532080
300,594,3,4,50,2,5,5703,6662,35,82,164,106,440788
300,594,3,4,50,2,5,9511,11420,60,116,164,106,582748
400,792,4,6,50,2,5,5938,7031,35,93,149,107,540892
400,792,4,6,50,2,5,10365,12053,60,113,149,107,790211
200,396,2,2,50,2,5,3383,3822,35,87,157,108,380046
200,396,2,2,50,2,5,5609,6553,60,119,157,108,515797
300,594,3,4,50,2,5,6361,7926,35,91,158,109,477322
300,594,3,4,50,2,5,10782,13588,60,117,158,109,671293
400,792,4,6,50,2,5,5372,6543,35,94,136,110,499397
400,792,4,6,50,2,5,9121,11216,60,112,136,110,719686
200,396,2,2,50,2,5,2735,3282,35,96,157,111,339609
200,396,2,2,50,2,5,4764,5626,60,126,157,111,487603
300,594,3,4,50,2,5,5673,6997,35,87,152,112,498449
300,594,3,4,50,2,5,9639,11994,60,115,152,112,673490
400,792,4,6,50,2,5,9060,11309,35,73,134,113,578844
400,792,4,6,50,2,5,15826,19386,60,97,134,113,893235
200,396,2,2,50,2,5,2648,2979,35,97,137,114,292886
200,396,2,2,50,2,5,4455,5107,60,114,137,114,360559
300,594,3,4,50,2,5,4302,5088,35,83,144,115,424619
300,594,3,4,50,2,5,7052,8722,60,104,144,115,555605
400,792,4,6,50,2,5,7024,8090,35,79,154,116,602812
400,792,4,6,50,2,5,11659,13869,60,111,154,116,805332
200,396,2,2,50,2,5,3044,3504,35,95,149,117,351167
200,396,2,2,50,2,5,5185,6007,60,121,149,117,490956
300,594,3,4,50,2,5,2430,3014,35,79,147,118,327308
300,594,3,4,50,2,5,4144,5167,60,106,147,118,454050
400,792,4,6,50,2,5,8273,9872,35,73,148,119,649793
400,792,4,6,50,2,5,14098,16923,60,101,148,119,964576
200,396,2,2,50,2,5,2200,2523,35,91,152,120,275204
200,396,2,2,50,2,5,3606,4325,60,118,152,120,352750
300,594,3,4,50,2,5,2318,2753,35,79,142,121,312696
300,594,3,4,50,2,5,4063,4719,60,106,142,121,460149
400,792,4,6,50,2,5,6367,7127,35,115,169,122,595230
400,792,4,6,50,2,5,10567,12217,60,138,169,122,759284
200,396,2,2,50,2,5,2262,2682,35,78,148,123,280970
200,396,2,2,50,2,5,4021,4598,60,108,148,123,380307
300,594,3,4,50,2,5,4479,5523,35,78,160,124,372334
300,594,3,4,50,2,5,7770,9467,60,111,160,124,507345
400,792,4,6,50,2,5,7277,8797,35,99,153,125,570211
400,792,4,6,50,2,5,12635,15081,60,121,153,125,862456
200,396,2,2,50,2,5,2431,2871,35,81,145,126,299148
200,396,2,2,50,2,5,4140,4922,60,108,145,126,396388
300,594,3,4,50,2,5,2762,3214,35,67,136,127,340434
300,594,3,4,50,2,5,4692,5510,60,93,136,127,472871
400,792,4,6,50,2,5,7132,8129,35,77,139,128,586756
400,792,4,6,50,2,5,11675,13936,60,105,139,128,824425
200,396,2,2,50,2,5,3363,3905,35,81,128,129,367924
200,396,2,2,50,2,5,5593,6694,60,101,128,129,520901
300,594,3,4,50,2,5,5648,7027,35,67,136,130,457025
300,594,3,4,50,2,5,10182,12047,60,93,136,130,699867
400,792,4,6,50,2,5,7169,8548,35,109,154,131,638628
400,792,4,6,50,2,5,12299,14653,60,129,154,131,928371
200,396,2,2,50,2,5,1784,2149,35,81,147,132,242450
200,396,2,2,50,2,5,3175,3683,60,107,147,132,325138
300,594,3,4,50,2,5,2944,3433,35,82,153,133,355275
300,594,3,4,50,2,5,5034,5885,60,112,153,133,525355
400,792,4,6,50,2,5,5105,5820,35,86,147,134,475686
400,792,4,6,50,2,5,8309,9977,60,113,147,134,603563
200,396,2,2,50,2,5,2660,3112,35,88,149,135,307301
200,396,2,2,50,2,5,4707,5334,60,114,149,135,440167
300,594,3,4,50,2,5,2543,2970,35,75,138,136,330837
300,594,3,4,50,2,5,4288,5092,60,102,138,136,468964
400,792,4,6,50,2,5,6389,7667,35,80,138,137,614113
400,792,4,6,50,2,5,10822,13143,60,100,138,137,835228
200,396,2,2,50,2,5,1966,2392,35,82,152,138,262257
200,396,2,2,50,2,5,3496,4100,60,113,152,138,346761
300,594,3,4,50,2,5,4785,5630,35,80,152,139,411416
300,594,3,4,50,2,5,8078,9652,60,108,152,139,547538
400,792,4,6,50,2,5,5063,6372,35,102,155,140,497090
400,792,4,6,50,2,5,8760,10924,60,124,155,140,692379
