Memo1 time,Memo1A1 time
2.5522,2.0511
2.7578000000000005,2.1532999999999998
1.1425,1.1069
2.2922000000000002,1.78
2.8358000000000003,2.0505000000000004
1.103,1.0686
2.2586,1.8027000000000002
2.6591,2.0677
1.2928,1.1485
2.1322000000000005,1.8114000000000001
3.0572000000000004,2.2003
1.2235,1.1426
2.2243000000000004,1.7855
2.9184,2.3886000000000003
1.1966999999999999,1.1537000000000002
2.0283,1.8232000000000002
3.1415,2.0944000000000003
1.127,1.1197000000000001
2.3092,1.9152000000000002
3.1024000000000003,2.1314
1.1285,1.1251
2.0919000000000003,1.8131000000000002
2.8428000000000004,2.0845
0.9990000000000001,1.2505000000000002
2.0133,1.7322000000000002
2.6174000000000004,2.0455
1.0622,1.0613000000000001
2.0701,1.7489000000000001
2.902,2.1327
1.0909000000000002,1.0985
2.2427,1.7779
2.7466,2.0494000000000003
1.102,1.0929000000000002
2.1599000000000004,1.7628000000000001
2.5856,2.0210000000000004
1.0883000000000003,1.094
2.1130000000000004,1.7497
2.9458,2.6917
1.2437000000000002,1.1177000000000001
2.4416,1.8584
2.9887000000000006,2.1626000000000003
1.0817,1.2733
2.3283,1.7913000000000001
2.8742000000000005,2.1290000000000004
1.1492000000000002,1.1162
2.6845000000000003,1.8812000000000002
3.063,2.2125
1.1504,1.0945
2.169,1.7928000000000002
3.1432,2.1454
1.1377000000000002,1.1039
2.9486,1.8357000000000003
2.6834000000000002,2.0702000000000003
0.9573,1.1009000000000002
2.1951,1.8616000000000001
2.9942,2.1036
0.9465000000000001,1.1033
2.2285,1.7615
2.7858,2.7177
1.1287,1.1095
2.1036,2.4642
2.7757000000000005,2.1028000000000002
1.2982,1.1530000000000002
2.0429000000000004,1.7147000000000001
2.6794000000000002,2.6474
1.1782000000000001,1.0974000000000002
2.1841,1.8238000000000003
2.8957,2.8391
1.2658,1.1560000000000001
2.3447000000000005,1.7737
3.0589000000000004,2.0685000000000002
1.1381000000000001,1.1212000000000002
2.1254,1.8059
2.6263,2.0237000000000003
1.0922,1.09
2.3994000000000004,1.7542
2.7447,2.1391
1.2395,1.1413
2.0886,1.8057
2.914,2.1081000000000003
1.1727,1.1257000000000001
2.1764,1.7792000000000001
3.0526000000000004,2.1432
1.0232,1.1095
2.1927000000000003,1.8326000000000002
2.7680000000000002,3.1020000000000003
1.2595,1.0985
2.3782,1.8521
2.9859,2.2537
1.231,1.1117
2.1212,1.7903
2.8814,2.084
1.1964000000000001,1.1207
3.8405,2.3131000000000004
3.0382000000000002,2.1948000000000003
1.3023000000000002,1.1425
2.2922000000000002,1.8427
2.6743,2.9784
1.3867,1.1753
2.4175,1.8384
2.7085,2.0675000000000003
1.1077000000000001,1.1053
2.3398,1.9063
2.8504000000000005,2.0775
1.0718,1.1053
2.3773,1.7842
2.7396,2.0538000000000003
1.0734,1.1024
2.2514000000000003,1.8703
2.6682,2.0848
1.1797000000000002,1.1339
2.1466000000000003,1.9268000000000003
2.7479,2.4539
1.1861000000000002,1.1783000000000001
2.2654000000000005,1.7695
2.738,2.1081000000000003
1.4265,1.7223000000000002
2.3189,1.9934000000000003
2.8386,2.105
1.2299000000000002,1.1143
2.3334,1.8166
2.8455000000000004,2.2382999999999997
1.2198,1.1613
2.0855,1.8038
2.9271000000000003,2.1632000000000002
1.0806000000000002,1.0764000000000002
2.4214,6.6946
3.3242000000000003,2.1012
1.0794000000000001,1.1103
2.1049,1.7702000000000002
2.5079,2.0132000000000003
1.2374,1.1326
2.1689000000000003,1.7885000000000002
2.8888000000000003,2.174
1.1696,1.086
2.1330000000000005,1.7689000000000001
2.8731000000000004,2.0916
1.1123,1.0982
2.6123000000000003,1.8523
2.6608,2.1211
1.0813000000000001,1.0732000000000002
2.0582000000000003,1.8182
2.7212,2.0667000000000004
1.1192000000000002,1.1583999999999999
2.1778,1.7665
2.7799,2.2477
1.2657,1.2522
2.2649000000000004,1.7765000000000002
3.2117,2.1428000000000003
1.1255,1.0755000000000001
2.3160000000000003,2.6391
2.6098000000000003,2.0844
1.2139000000000002,1.1411000000000002
2.1036,1.7242000000000002
3.0087,2.1798
1.1385,1.1204
2.3761000000000005,1.7686000000000002
2.8215000000000003,2.1018
1.0222,1.0803
2.1236,1.8125
2.9951000000000003,2.1907
1.1136,1.1283
2.2731000000000003,1.7592
2.5688,2.2491
1.2499000000000002,1.1244
2.444,1.8800000000000001
3.1659,2.1216
1.1997000000000002,1.0981
2.2268000000000003,1.8645
2.7576,2.0761
1.167,1.1710000000000003
2.3421000000000003,1.8401
2.8507000000000002,3.1394
1.0045,1.0572000000000001
2.1883000000000004,2.6772
2.6227000000000005,2.6738
1.2016000000000002,1.212
2.9875000000000003,1.7327000000000001
2.7310000000000003,2.0261000000000005
1.3656,1.1677
2.5154,1.9026
2.7565000000000004,3.4682000000000004
1.0584000000000002,1.0832000000000002
2.3357,2.5932000000000004
2.8847,2.1407000000000003
1.1838,1.1506
2.2003,1.8649
2.9112,2.0992
1.2924,1.7044
2.1024,1.8536000000000001
2.7875,2.0608000000000004
1.7856,1.6181
2.5771,2.8185000000000002
2.6372999999999998,2.0688
1.2614,1.1442
2.2349,1.7618000000000003
2.5354,2.1041000000000003
1.2049,1.1787
1.9815000000000003,1.7627000000000002
2.7595,2.0938000000000003
1.1360000000000001,1.1178000000000001
2.0893,1.7709000000000001
2.551,2.0375
1.1486,1.1252
2.2306,1.8576000000000001
2.8131000000000004,2.599
1.1261,1.1172
2.2362,1.7949000000000002
2.8944,2.1092000000000004
1.2842,1.2253
2.3323,1.8318
2.5213,2.0566
1.0843,1.1444
2.5044,1.8595000000000002
2.8963,2.1589
1.1985000000000001,1.1394
2.2317,1.8759000000000001
2.8471,2.7242
1.2581,1.1208000000000002
2.4341000000000004,1.8552000000000002
2.7193,2.0468
1.0370000000000001,1.0751000000000002
2.5316,1.9588
3.1448,2.1764
1.2061000000000002,1.113
2.2392000000000003,1.7925
3.2532000000000005,2.1418
1.1114,1.101
2.2257000000000002,1.7568000000000001
2.8975000000000004,2.1746
0.9940000000000001,1.0928000000000002
2.0257,1.7798000000000003
2.466,2.0464
1.1564,1.1083
2.4085,1.8622
2.8524000000000003,2.1479000000000004
1.3989,1.15
2.3849,1.8282
2.5726,2.1932
1.1249,1.5785
2.1001000000000003,1.7973000000000001
2.7697000000000003,2.1226000000000003
1.2769000000000001,1.1358000000000001
2.2306,1.9433
2.6839000000000004,2.2321000000000004
1.1108,1.1459000000000001
2.3741,2.3673
2.9753000000000003,2.1595
1.2639,1.2985000000000002
2.1847,1.7801000000000002
2.737,2.1159
1.191,1.0701
2.0908,1.7671000000000001
3.0327,2.2052
1.1609,1.0805
2.3937000000000004,1.9548
2.8584,2.0702000000000003
1.1469000000000003,1.1227
2.1406000000000005,2.3433
3.1338000000000004,2.1225
1.1709,1.1276000000000002
2.3426,1.9303000000000001
2.9916,2.9466
1.1929,1.1122
2.1271000000000004,1.8315
2.7109,2.0685000000000002
1.2339,1.1553000000000002
2.4371,1.8524
2.6466000000000003,2.0328
1.0649000000000002,1.0947
2.1976,1.8498
2.986,2.1563000000000003
1.1374,1.0837
2.031,6.498
2.7357,2.0828
1.2374,1.1718
2.1767000000000003,1.7894
3.2083000000000004,2.2653
0.7883,1.0469000000000002
2.3104,1.7977
2.9663000000000004,2.1619
1.2422000000000002,1.104
2.1698,1.7944
2.8763,2.1622
1.2285,1.1025
2.4956,1.8359
2.8418,2.0963000000000003
1.2017,1.1316
2.4338,2.4137
2.8971,3.2608
1.0243000000000002,1.0848000000000002
2.4034,1.8175000000000001
2.6479000000000004,2.2344
1.161,1.1284
2.2651,1.8495
2.6729000000000003,2.0372000000000003
1.3216,1.1170000000000002
2.1794000000000002,1.8209000000000002
3.3347,2.9982
