nearest neighbour time,nearest neighbour length,lin-kernighan time,lin-kernighan length,brute force time,brute force length,branch & bound time,branch & bound length,dynamic programming time,dynamic programming length
0.07338,1280.6,0.32368,1280.6,,,,,,
0.07598,1280.6,0.30972,1280.6,,,,,,
0.07346000000000001,1309.4,0.32456000000000007,1309.4,,,,,,
0.07730000000000001,1309.4,0.32300000000000006,1309.4,,,,,,
0.08262,1330.2,0.32368,1330.2,,,,,,
0.07782000000000001,1330.2,0.33016,1330.2,,,,,,
0.08344,1360.6,0.34206000000000003,1360.6,,,,,,
0.07998000000000001,1360.6,0.34466,1360.6,,,,,,
0.08560000000000001,1390.2,0.32922,1390.2,,,,,,
0.10006000000000001,1390.2,0.3523,1390.2,,,,,,
0.0849,1411.6,0.36660000000000004,1411.6,,,,,,
0.083,1411.6,0.3311,1411.6,,,,,,
0.08576,1438.4,0.38,1438.4,,,,,,
0.08758,1438.4,0.36878000000000005,1438.4,,,,,,
0.08653999999999999,1472.6,0.35036,1472.6,,,,,,
0.08764000000000001,1472.6,0.34586,1472.6,,,,,,
0.10426,1509.6,0.34758,1509.6,,,,,,
0.08874000000000001,1509.6,0.35768000000000005,1509.6,,,,,,
0.09418,1534.0,0.36934,1534.0,,,,,,
0.10640000000000001,1534.0,0.36642,1534.0,,,,,,
0.0926,1563.0,0.35604,1563.0,,,,,,
0.09096000000000001,1563.0,0.35514,1563.0,,,,,,
